,STNAME,POPESTIMATE2020
0,Alabama,4921532
68,Alaska,731158
99,Arizona,7421401
115,Arkansas,3030522
191,California,39368078
250,Colorado,5807719
315,Connecticut,3557006
324,Delaware,986809
328,District of Columbia,712816
330,Florida,21733312
398,Georgia,10710017
558,Hawaii,1407006
564,Idaho,1826913
609,Illinois,12587530
712,Indiana,6754953
805,Iowa,3163561
905,Kansas,2913805
1011,Kentucky,4477251
1132,Louisiana,4645318
1197,Maine,1350141
1214,Maryland,6055802
1239,Massachusetts,6893574
1254,Michigan,9966555
1338,Minnesota,5657342
1426,Mississippi,2966786
1509,Missouri,6151548
1625,Montana,1080577
1682,Nebraska,1937552
1776,Nevada,3138259
1794,New Hampshire,1366275
1805,New Jersey,8882371
1827,New Mexico,2106319
1861,New York,19336776
1924,North Carolina,10600823
2025,North Dakota,765309
2079,Ohio,11693217
2168,Oklahoma,3980783
2246,Oregon,4241507
2283,Pennsylvania,12783254
2351,Rhode Island,1057125
2357,South Carolina,5218040
2404,South Dakota,892717
2471,Tennessee,6886834
2567,Texas,29360759
2822,Utah,3249879
2852,Vermont,623347
2867,Virginia,8590563
3001,Washington,7693612
3041,West Virginia,1784787
3097,Wisconsin,5832655
3170,Wyoming,582328
